"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"329238",7,"allD",11,9,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328639",1,"allD",0,10,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328739",2,"allD",1,10,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328839",3,"allD",7,10,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328939",4,"allD",11,10,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329039",5,"allD",5,10,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329139",6,"allD",12,10,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329239",7,"allD",11,10,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328640",1,"allD",1,11,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328740",2,"allD",1,11,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328840",3,"allD",3,11,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328940",4,"allD",5,11,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329040",5,"allD",7,11,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329140",6,"allD",10,11,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329240",7,"allD",16,11,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328641",1,"allD",0,12,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328741",2,"allD",2,12,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328841",3,"allD",3,12,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328941",4,"allD",5,12,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329041",5,"allD",10,12,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329141",6,"allD",7,12,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329241",7,"allD",19,12,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328642",1,"allD",0,13,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328742",2,"allD",1,13,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328842",3,"allD",3,13,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328942",4,"allD",5,13,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329042",5,"allD",6,13,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329142",6,"allD",10,13,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329242",7,"allD",15,13,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328643",1,"allD",0,14,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328743",2,"allD",2,14,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328843",3,"allD",2,14,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328943",4,"allD",12,14,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329043",5,"allD",5,14,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329143",6,"allD",11,14,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329243",7,"allD",12,14,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328644",1,"allD",0,15,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328744",2,"allD",1,15,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328844",3,"allD",0,15,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328944",4,"allD",7,15,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329044",5,"allD",5,15,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329144",6,"allD",9,15,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329244",7,"allD",17,15,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328645",1,"allD",0,16,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328745",2,"allD",0,16,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328845",3,"allD",5,16,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328945",4,"allD",2,16,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329045",5,"allD",5,16,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329145",6,"allD",14,16,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329245",7,"allD",16,16,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328646",1,"allD",0,17,"AM",167423,10,3400,10,1,0,0.9,5134839.2
