"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"328842",3,"allD",4,1,"AL",127500,10,5140,10,2,0,0.9,2567419.6
"328942",4,"allD",8,1,"AL",127500,10,5140,10,2,0,0.9,2567419.6
"329042",5,"allD",13,1,"AL",127500,10,5140,10,2,0,0.9,2567419.6
"329142",6,"allD",13,1,"AL",127500,10,5140,10,2,0,0.9,2567419.6
"329242",7,"allD",20,1,"AL",127500,10,5140,10,2,0,0.9,2567419.6
"328643",1,"allD",0,1,"AL",127500,10,5140,10,2,0.7,0.9,2567419.6
"328743",2,"allD",0,1,"AL",127500,10,5140,10,2,0.7,0.9,2567419.6
"328843",3,"allD",2,1,"AL",127500,10,5140,10,2,0.7,0.9,2567419.6
"328943",4,"allD",10,1,"AL",127500,10,5140,10,2,0.7,0.9,2567419.6
"329043",5,"allD",7,1,"AL",127500,10,5140,10,2,0.7,0.9,2567419.6
"329143",6,"allD",2,1,"AL",127500,10,5140,10,2,0.7,0.9,2567419.6
"329243",7,"allD",0,1,"AL",127500,10,5140,10,2,0.7,0.9,2567419.6
"328644",1,"allD",0,1,"AL",86430,10,5140,10,3,0,0.9,2567419.6
"328744",2,"allD",0,1,"AL",86430,10,5140,10,3,0,0.9,2567419.6
"328844",3,"allD",4,1,"AL",86430,10,5140,10,3,0,0.9,2567419.6
"328944",4,"allD",8,1,"AL",86430,10,5140,10,3,0,0.9,2567419.6
"329044",5,"allD",13,1,"AL",86430,10,5140,10,3,0,0.9,2567419.6
"329144",6,"allD",13,1,"AL",86430,10,5140,10,3,0,0.9,2567419.6
"329244",7,"allD",20,1,"AL",86430,10,5140,10,3,0,0.9,2567419.6
"328645",1,"allD",0,1,"AL",86430,10,5140,10,3,0.7,0.9,2567419.6
"328745",2,"allD",1,1,"AL",86430,10,5140,10,3,0.7,0.9,2567419.6
"328845",3,"allD",7,1,"AL",86430,10,5140,10,3,0.7,0.9,2567419.6
"328945",4,"allD",11,1,"AL",86430,10,5140,10,3,0.7,0.9,2567419.6
